frame,timestamp_s,fps,2d_neck_alpha,2d_neck_beta,2d_neck_gamma,2d_trunk_alpha,2d_trunk_beta,2d_trunk_gamma,2d_right_shoulder_alpha,2d_right_shoulder_beta,2d_right_shoulder_gamma,2d_right_shoulder_elevation,2d_left_shoulder_alpha,2d_left_shoulder_beta,2d_left_shoulder_gamma,2d_left_shoulder_elevation,2d_right_elbow,2d_left_elbow,2d_right_knee,2d_left_knee,3d_neck_alpha,3d_neck_beta,3d_neck_gamma,3d_trunk_alpha,3d_trunk_beta,3d_trunk_gamma,3d_right_shoulder_alpha,3d_right_shoulder_beta,3d_right_shoulder_gamma,3d_right_shoulder_elevation,3d_left_shoulder_alpha,3d_left_shoulder_beta,3d_left_shoulder_gamma,3d_left_shoulder_elevation,3d_right_elbow,3d_left_elbow,3d_right_knee,3d_left_knee
130,8.666667,15,0.0000,0.0000,0.0564,0.0000,0.0000,0.0160,0.0000,0.0000,1.1070,-0.0503,0.0000,0.0000,0.1854,0.0372,1.1807,0.2649,3.1503,0.0565,2.0438,-1.1080,13.6207,2.0791,0.0419,-14.6418,3.0108,5.2667,0.3755,2.0013,10.2538,9.5672,2.9122,-6.1648,13.0422,3.8642,0.0000,0.0000
131,8.733333,15,0.0000,0.0000,0.0494,0.0000,0.0000,0.0151,0.0000,0.0000,1.1348,-0.0478,0.0000,0.0000,-0.1277,0.0237,1.3683,0.0998,0.0308,0.0960,-9.9604,-1.6664,-4.7186,-2.4553,-0.0875,-17.0973,-28.5273,-0.1006,-1.5586,8.5360,-5.2182,8.9768,2.0402,-0.4522,3.7635,16.2677,0.0000,0.0000
132,8.800000,15,0.0000,0.0000,0.0326,0.0000,0.0000,0.0126,0.0000,0.0000,0.1456,-0.0539,0.0000,0.0000,0.1794,0.0375,0.3928,0.2807,3.1849,0.0813,-0.1966,-5.1028,11.9364,2.0761,0.0562,-7.2918,-31.1032,-6.8739,-2.8369,6.1614,-7.9656,1.9766,0.8897,0.5196,22.1612,22.0755,0.0000,0.0000
133,8.866667,15,0.0000,0.0000,0.0272,0.0000,0.0000,0.0171,0.0000,0.0000,0.0850,-0.0643,0.0000,0.0000,0.1371,0.0440,0.1411,0.2154,0.0032,0.0949,-12.0907,-0.5578,8.9057,-0.9605,-0.0429,-19.1372,-37.0988,-0.0327,-1.3779,10.1799,-0.1664,10.3978,2.7688,-0.8401,14.3022,11.2697,0.0000,0.0000
134,8.933333,15,0.0000,0.0000,-2.3757,0.0000,0.0000,1.6494,0.0000,0.0000,0.1300,1.6118,0.0000,0.0000,0.1700,-1.5933,0.3494,0.1208,0.0279,0.0655,-0.6663,7.8084,-15.8857,0.5430,1.6681,-23.2368,-57.4529,6.3914,0.9243,15.2409,-7.8097,13.6858,-355.5140,-1.6343,47.7072,21.3214,0.0000,0.0000
135,9.000000,15,0.0000,0.0000,-2.3522,0.0000,0.0000,1.6594,0.0000,0.0000,2.8634,1.6119,0.0000,0.0000,0.1749,-1.5919,8.4984,0.2695,0.0298,0.0218,-12.4447,7.0015,-8.3561,-3.9841,1.5193,-23.1902,-43.5357,6.2853,0.5607,15.0490,1.9936,13.8500,-355.7743,-1.1725,12.6122,6.2635,0.0000,0.0000
136,9.066667,15,0.0000,0.0000,-2.3847,0.0000,0.0000,1.6241,0.0000,0.0000,0.0175,1.5746,0.0000,0.0000,0.1542,-1.5633,6.2980,0.2286,3.1703,0.0878,-16.4920,8.1713,13.2635,-4.8323,1.4560,-25.3214,-26.0141,4.6599,0.9122,10.0650,12.3473,14.6559,-355.5448,-6.6418,19.2968,8.8580,0.0000,0.0000
137,9.133333,15,0.0000,0.0000,-1.6584,0.0000,0.0000,1.6997,0.0000,0.0000,-4.0191,1.6087,0.0000,0.0000,-4.1317,2.3611,9.4019,0.0334,0.0569,0.0788,-10.8226,6.4336,11.0455,-2.4503,1.6137,-28.1352,-28.5743,2.3687,0.1967,11.9151,14.9625,15.9829,4.0148,-2.9351,22.5202,15.1960,0.0000,0.0000
138,9.200000,15,0.0000,0.0000,-1.6284,0.0000,0.0000,1.7197,0.0000,0.0000,-6.7785,1.6324,0.0000,0.0000,-4.1411,2.3408,19.8615,0.0710,0.0218,0.1602,11.5768,4.8393,-13.3631,5.1195,1.8916,-23.4577,-2.8574,-1.1847,0.2484,8.4466,10.5018,14.9690,3.6190,-3.9186,17.5031,1.9292,0.0000,0.0000
139,9.266667,15,0.0000,0.0000,2.5106,0.0000,0.0000,1.6467,0.0000,0.0000,-6.9378,1.5473,0.0000,0.0000,-4.1715,2.4056,23.7651,0.1251,3.2277,0.1623,-10.8428,6.3966,-32.9782,-2.0480,1.5774,-34.5979,-39.3479,4.7294,1.6867,8.4552,27.9077,15.4750,-355.7171,-9.1106,21.7939,18.8803,0.0000,0.0000
140,9.333333,15,0.0000,0.0000,2.4519,0.0000,0.0000,1.6571,0.0000,0.0000,-15.5536,1.5308,0.0000,0.0000,-6.6533,2.4166,22.6528,5.4492,1.9956,0.1132,-15.2486,-5.9422,-27.0921,-4.9577,1.4848,-15.3701,-9.8527,-13.4573,-1.1103,4.4860,5.3767,13.1080,1.6380,0.0975,22.8684,7.4240,0.0000,0.0000
141,9.400000,15,0.0000,0.0000,6.3354,0.0000,0.0000,1.6568,0.0000,0.0000,-24.6431,1.4972,0.0000,0.0000,-6.6921,2.4440,20.9345,5.4691,3.2570,0.1432,-4.6148,-4.9010,-14.9033,-0.5860,1.6387,-21.3953,-26.9265,-20.8573,-1.4111,8.5860,10.3696,16.3193,3.1510,-1.6943,24.6390,3.2126,0.0000,0.0000
142,9.466667,15,0.0000,0.0000,0.7604,0.0000,0.0000,3.3253,0.0000,0.0000,-37.9284,3.1100,0.0000,0.0000,-7.0286,1.1664,21.1578,5.4367,3.2789,0.1213,-3.6987,9.2079,-35.2429,-2.0443,3.2475,-38.9242,-69.0221,-7.5877,5.8342,16.1043,20.9801,22.2220,-354.9002,-8.2538,27.0547,7.4864,0.0000,0.0000
143,9.533333,15,0.0000,0.0000,0.7966,0.0000,0.0000,3.3256,0.0000,0.0000,-33.2653,-1.7006,0.0000,0.0000,-4.0645,0.8858,22.4952,3.0423,3.1455,0.1138,-12.2014,9.4255,-18.8052,-3.5282,3.1881,-36.9201,-73.2170,-7.1917,2.8047,13.4032,15.6999,20.0179,-355.2585,-5.7824,24.7756,8.5763,0.0000,0.0000
144,9.600000,15,0.0000,0.0000,0.9263,0.0000,0.0000,3.2885,0.0000,0.0000,-33.8933,-1.3587,0.0000,0.0000,-4.2627,1.2384,19.9268,0.0588,0.1233,0.1046,3.2918,3.6864,-20.7241,0.9429,3.3245,-28.4244,-69.1074,-14.3680,-0.9212,9.7528,7.6462,17.9181,3.6714,-3.0349,4.8965,4.7264,0.0000,0.0000
145,9.666667,15,0.0000,0.0000,0.8539,0.0000,0.0000,3.2969,0.0000,0.0000,-43.5877,-1.3621,0.0000,0.0000,-4.2630,1.2363,24.2521,0.2100,3.2276,0.0838,-8.5311,13.2968,-18.3631,-3.5195,3.1600,-44.6223,-86.5899,3.4114,5.5498,15.7840,22.7754,20.0478,-355.0308,-8.4493,28.5019,9.0105,0.0000,0.0000
146,9.733333,15,0.0000,0.0000,0.8680,0.0000,0.0000,3.3170,0.0000,0.0000,-52.8022,-1.4360,0.0000,0.0000,-4.2913,1.2677,13.2713,0.2457,0.0060,0.0411,-8.5583,11.0784,-22.8618,-3.4932,3.1802,-40.8686,-95.5286,3.7491,3.9730,10.2282,21.9884,19.3566,-355.2294,-11.0855,31.7602,4.4543,0.0000,0.0000
147,9.800000,15,0.0000,0.0000,0.8889,0.0000,0.0000,3.2849,0.0000,0.0000,-55.9426,-1.4805,0.0000,0.0000,-4.2974,1.2909,12.3550,0.2138,0.0696,0.1193,-8.8679,7.5196,-24.9484,-3.5113,3.1485,-34.6691,-100.5807,6.4314,1.5313,15.6764,1.5608,21.2714,-355.2916,-1.0282,0.0000,18.4476,0.0000,0.0000
148,9.866667,15,0.0000,0.0000,0.7868,0.0000,0.0000,3.3267,0.0000,0.0000,-48.3515,-6.6870,0.0000,0.0000,-4.3700,1.3114,22.1498,0.1981,0.0215,0.0615,-5.7751,9.0597,-20.7488,-0.5861,3.3049,-37.8345,-87.2526,-14.7402,-0.7148,2.2096,26.9895,17.5954,4.0453,-10.1108,1.8224,11.3858,0.0000,0.0000
149,9.933333,15,0.0000,0.0000,0.8620,0.0000,0.0000,3.3102,0.0000,0.0000,-51.1435,-6.8186,0.0000,0.0000,-4.3345,1.3278,21.7604,0.2719,0.0472,0.1272,-21.7224,11.5398,-30.4879,-6.3979,3.0523,-38.1680,-91.2618,-22.4161,0.6211,7.7599,18.5342,19.3023,-355.8324,-7.2685,5.6631,6.7152,0.0000,0.0000
150,10.000000,15,0.0000,0.0000,6.3381,0.0000,0.0000,1.6803,0.0000,0.0000,-46.0905,-13.2670,0.0000,0.0000,-4.0138,2.6270,18.6190,0.2523,0.1037,0.0923,-9.8545,2.1377,-25.3548,-0.5715,1.6618,-33.7022,-89.5994,-25.5377,-9.2004,-1.4161,6.8142,18.8137,1.4357,-3.9092,0.0000,11.6960,0.0000,0.0000
151,10.066667,15,0.0000,0.0000,6.2977,0.0000,0.0000,1.7342,0.0000,0.0000,-49.3696,-13.2340,0.0000,0.0000,-4.0192,2.5671,16.5127,0.2558,0.0069,0.1012,-12.4121,3.8074,-32.3932,0.3934,1.7471,-35.6077,-93.5015,-22.1630,-7.7021,2.7557,13.6046,18.5922,2.3022,-1.6636,0.0000,1.1564,0.0000,0.0000
152,10.133333,15,0.0000,0.0000,0.8909,0.0000,0.0000,3.3008,0.0000,0.0000,-57.3397,-10.4714,0.0000,0.0000,-4.6840,1.3352,20.3117,0.0736,0.0236,0.0401,-5.8605,3.3357,-18.1365,2.3133,3.3855,-26.9845,-101.0653,-44.7602,-19.3982,0.6433,5.2519,17.7221,1.1477,-2.0057,16.5001,4.5864,0.0000,0.0000
153,10.200000,15,0.0000,0.0000,-3.0483,0.0000,0.0000,3.3002,0.0000,0.0000,-59.1896,-11.5562,0.0000,0.0000,-4.6952,1.3662,24.3871,0.0224,0.0734,0.0759,-12.0566,8.8652,-26.0219,-3.5104,3.1632,-30.1887,-113.9094,-47.7385,-21.4338,-0.8099,8.3970,18.6672,1.6427,-3.9238,19.4845,1.7865,0.0000,0.0000
154,10.266667,15,0.0000,0.0000,0.8902,0.0000,0.0000,3.3015,0.0000,0.0000,-59.1554,-11.6031,0.0000,0.0000,-4.3791,1.3551,24.4091,0.2411,0.0605,0.1154,-0.6328,8.3085,-35.0308,0.9515,3.3369,-38.2793,-101.9670,-51.1690,-16.1131,-4.8873,28.7536,17.2789,3.8805,-11.4580,0.0000,11.4907,0.0000,0.0000
155,10.333333,15,0.0000,0.0000,0.7323,0.0000,0.0000,3.4038,0.0000,0.0000,-59.5356,-11.4935,0.0000,0.0000,-4.6974,1.2641,24.0892,0.0599,0.0302,0.1316,3.1121,2.5467,-23.4757,0.5702,3.4221,-25.1158,-136.5779,-56.4988,-73.5223,-4.7691,3.1676,16.8170,0.4740,-5.2278,28.6341,13.6688,0.0000,0.0000
156,10.400000,15,0.0000,0.0000,0.7954,0.0000,0.0000,3.3188,0.0000,0.0000,-59.5965,-11.5712,0.0000,0.0000,-4.4009,1.3536,24.0236,0.2071,0.0015,0.0503,-15.2118,13.9050,-29.1892,-3.5101,3.1814,-42.8663,-95.0347,-53.4862,-5.3315,-2.4593,37.6968,13.9291,-355.7825,-13.4378,33.4607,18.2862,0.0000,0.0000
157,10.466667,15,0.0000,0.0000,0.8235,0.0000,0.0000,3.3332,0.0000,0.0000,-62.6589,-11.5846,0.0000,0.0000,-4.4014,1.3454,18.3528,0.2097,1.7193,0.1201,-0.9439,6.3998,-31.0591,0.7791,3.3620,-33.8711,-132.0815,-53.9716,-28.4057,-4.8833,27.6723,17.0159,3.6941,-9.6318,12.7513,11.4015,0.0000,0.0000
158,10.533333,15,0.0000,0.0000,0.8891,0.0000,0.0000,3.2996,0.0000,0.0000,-59.6012,-11.5798,0.0000,0.0000,-4.6953,1.3584,24.2987,0.0718,0.0054,0.0843,-12.6365,11.7880,-27.8889,-0.7328,3.2723,-40.3879,-101.6912,-49.2957,-9.7700,1.7592,19.1797,20.6324,3.5277,-7.7919,13.5086,1.2698,0.0000,0.0000
159,10.600000,15,0.0000,0.0000,0.8921,0.0000,0.0000,3.2926,0.0000,0.0000,-59.5690,-11.5853,0.0000,0.0000,-4.6844,1.3522,24.0901,0.0809,0.1611,0.1004,-18.8516,8.6103,-15.4252,-3.5402,3.1549,-34.4720,-132.0272,-61.1382,-105.4675,0.8504,15.0691,19.4507,2.8046,-5.4314,28.9893,0.1076,0.0000,0.0000
160,10.666667,15,0.0000,0.0000,0.8826,0.0000,0.0000,3.2953,0.0000,0.0000,-59.2715,-11.5726,0.0000,0.0000,-4.6870,1.3500,24.2781,0.0570,0.0257,0.1080,-9.1800,7.4082,-30.1667,-0.5712,3.2746,-34.1324,-128.7657,-60.9166,-100.8495,-1.1347,17.9861,19.0676,2.9284,-6.5556,19.8570,3.7272,0.0000,0.0000
161,10.733333,15,0.0000,0.0000,0.7957,0.0000,0.0000,3.3059,0.0000,0.0000,-55.8858,-11.5582,0.0000,0.0000,-4.6797,1.3446,19.8774,0.0461,0.0484,0.0947,2.9906,11.0831,-36.9755,0.8938,3.3402,-46.5853,-91.0341,-34.5725,-1.4403,-3.6840,38.3730,14.3268,-355.7790,-13.6885,0.0000,18.7801,0.0000,0.0000
162,10.800000,15,0.0000,0.0000,0.8766,0.0000,0.0000,3.2979,0.0000,0.0000,-49.6879,-11.5969,0.0000,0.0000,-4.6907,1.3540,16.1922,0.0722,0.0307,0.1451,-21.6697,8.9609,-33.4921,-6.3745,3.0413,-34.7471,-8.9115,-53.8559,-3.2951,-2.3725,20.9740,18.1403,3.3099,-8.8711,25.9346,11.5315,0.0000,0.0000
163,10.866667,15,0.0000,0.0000,0.7946,0.0000,0.0000,3.3260,0.0000,0.0000,-42.9037,-11.5930,0.0000,0.0000,-4.6955,1.3402,15.4747,0.0601,0.0494,0.1203,-12.2354,6.5337,-15.1887,-3.5141,3.1882,-32.2891,-70.5303,-38.7696,-10.5051,-5.4412,23.4151,17.4404,3.2831,-9.7202,12.3485,13.5760,0.0000,0.0000
164,10.933333,15,0.0000,0.0000,0.7786,0.0000,0.0000,3.3259,0.0000,0.0000,-48.2519,-6.7300,0.0000,0.0000,-4.3422,1.2966,25.1788,0.0787,0.0143,0.0844,-7.5159,13.0977,-38.3383,0.7737,3.3549,-44.2371,-86.8928,-6.4962,1.3474,0.9211,44.2828,11.5400,3.9812,-13.1816,26.5554,15.4013,0.0000,0.0000
165,11.000000,15,0.0000,0.0000,-3.0506,0.0000,0.0000,3.3047,0.0000,0.0000,-44.4407,-5.9241,0.0000,0.0000,-4.6103,1.2863,15.8700,0.0382,0.0202,0.0644,-17.3783,6.9866,-16.4350,-2.2371,3.2183,-27.0994,-89.6295,-16.0754,-4.9708,1.5859,12.1219,17.2787,2.6930,-5.4218,0.4559,3.7582,0.0000,0.0000
166,11.066667,15,0.0000,0.0000,6.2536,0.0000,0.0000,1.6958,0.0000,0.0000,-31.8184,-3.4295,0.0000,0.0000,-4.1982,2.4891,21.1031,0.0233,0.0265,0.0555,-15.4094,-1.8448,-24.9495,-3.5273,1.5724,-26.6052,-69.6157,-18.3477,-4.0508,5.3055,10.7446,15.5799,2.8457,-2.7961,16.9719,3.4040,0.0000,0.0000
167,11.133333,15,0.0000,0.0000,2.4119,0.0000,0.0000,1.6654,0.0000,0.0000,-29.7121,1.5122,0.0000,0.0000,-4.1361,2.4245,11.4757,0.1083,0.1157,0.0906,-14.6310,8.4962,-16.1943,-2.2415,1.5884,-36.8714,-61.6757,-7.0700,3.1354,11.7960,25.3930,16.3364,-355.5440,-8.0276,25.9587,12.4178,0.0000,0.0000
168,11.200000,15,0.0000,0.0000,-1.5741,0.0000,0.0000,1.7085,0.0000,0.0000,-15.6032,1.6176,0.0000,0.0000,-4.1694,2.3563,22.7278,0.1056,0.0309,0.0416,-19.0575,6.5139,4.3965,-3.9679,1.5668,-28.1276,-7.4023,-8.7700,0.3326,4.8289,19.3278,15.5176,4.0453,-8.4501,26.0186,11.2544,0.0000,0.0000
169,11.266667,15,0.0000,0.0000,-1.6186,0.0000,0.0000,1.7003,0.0000,0.0000,-6.9751,1.6333,0.0000,0.0000,-4.1937,2.3506,24.0175,0.1225,0.0560,0.0087,-12.4584,0.8210,11.0504,-1.1272,1.6601,-19.1888,-23.4044,-4.8451,-1.2232,2.9758,15.2470,13.4054,3.1668,-5.4232,35.1694,13.1295,0.0000,0.0000
170,11.333333,15,0.0000,0.0000,-2.3361,0.0000,0.0000,1.6936,0.0000,0.0000,-4.2224,1.6245,0.0000,0.0000,0.1171,-1.6151,24.9572,0.2542,0.0192,0.0205,-9.6595,-1.7030,12.7344,-2.4552,1.6066,-8.4754,-40.9106,-10.1387,-3.5125,2.4527,0.3206,6.0747,1.6218,-2.8757,0.0000,1.4215,0.0000,0.0000
171,11.400000,15,0.0000,0.0000,-2.3361,0.0000,0.0000,1.6841,0.0000,0.0000,-4.0183,1.5951,0.0000,0.0000,0.1116,-1.6028,6.0249,0.2575,1.7838,0.0387,-6.5632,-2.0849,5.6946,0.4236,1.6979,-6.3259,17.3901,7.9142,1.4580,3.6549,-1.6282,4.4525,1.7145,-2.5302,14.9435,3.1903,0.0000,0.0000
172,11.466667,15,0.0000,0.0000,0.0043,0.0000,0.0000,0.0257,0.0000,0.0000,-0.0270,-0.0237,0.0000,0.0000,0.1645,-0.0061,6.1889,0.2590,0.1323,2.3213,-13.4691,-2.2031,2.8014,-2.5058,-0.0493,-16.8199,-11.1890,1.2008,-0.5452,-1.3484,16.9101,10.8401,3.1752,-8.8264,18.3179,11.1653,0.0000,0.0000
173,11.533333,15,0.0000,0.0000,-0.0161,0.0000,0.0000,0.0139,0.0000,0.0000,0.1225,-0.0596,0.0000,0.0000,-0.1868,0.0131,3.3841,0.0446,0.0106,0.0057,-12.6173,0.6218,6.9341,-1.1239,-0.0178,-21.0012,-5.3795,3.6282,0.0938,0.3714,18.5333,12.4517,3.6559,-9.6529,13.9512,9.4123,0.0000,0.0000
174,11.600000,15,0.0000,0.0000,0.0853,0.0000,0.0000,0.0089,0.0000,0.0000,0.1753,-0.0453,0.0000,0.0000,-0.1523,0.0116,3.2084,0.1015,1.7962,0.0671,-14.7382,-10.4818,35.7732,-2.6551,-0.0707,-5.2127,-2.6472,0.2119,-0.4482,-0.4061,-0.0529,3.0292,0.1570,-0.3672,10.0378,8.8771,0.0000,0.0000
175,11.666667,15,0.0000,0.0000,0.0255,0.0000,0.0000,0.0027,0.0000,0.0000,2.9057,-0.0655,0.0000,0.0000,-0.1182,0.0234,8.6836,0.1330,0.0189,0.1175,-15.6059,-0.9736,16.9993,-1.1253,-0.0339,-18.9288,-7.8734,5.4316,-0.1281,0.3699,18.3757,11.8574,3.4852,-8.5796,16.4799,5.1025,0.0000,0.0000
176,11.733333,15,0.0000,0.0000,0.0776,0.0000,0.0000,0.0199,0.0000,0.0000,2.9172,-0.0771,0.0000,0.0000,-0.1739,0.0486,8.7030,0.0782,0.0653,0.0858,-16.9998,-6.6929,14.4648,-3.5700,-0.1287,-11.1326,-29.1548,-2.1077,-2.9817,3.3349,-1.1788,6.0488,0.9272,-0.0859,17.1238,8.8981,0.0000,0.0000
177,11.800000,15,0.0000,0.0000,0.0959,0.0000,0.0000,0.0086,0.0000,0.0000,2.8843,-0.0473,0.0000,0.0000,-0.1243,0.0217,5.8617,0.1115,0.0027,0.0534,-0.6727,0.3555,26.6556,3.4956,0.1047,-18.7758,-12.8141,4.3540,-0.1597,0.8050,22.9248,12.4717,3.8027,-10.0901,8.2827,9.5524,0.0000,0.0000
178,11.866667,15,0.0000,0.0000,3.9854,0.0000,0.0000,0.0036,0.0000,0.0000,2.8513,-0.0606,0.0000,0.0000,-0.1466,0.0293,8.7915,0.1099,0.0150,0.1110,7.3485,-2.5423,-3.1761,3.6885,0.1156,-18.8614,-29.8545,2.8370,-0.6964,5.4030,0.7883,10.7606,3.1389,-5.3298,20.1112,16.4357,0.0000,0.0000
179,11.933333,15,0.0000,0.0000,3.9963,0.0000,0.0000,0.0125,0.0000,0.0000,0.1413,-0.0693,0.0000,0.0000,-0.1393,0.0295,3.1462,0.0973,0.0158,0.0330,-16.7335,-4.6172,9.7761,-2.5018,-0.0861,-19.0382,-15.3390,1.4086,-0.5563,3.6182,11.1481,11.3636,3.1088,-5.1400,4.1236,6.6042,0.0000,0.0000
180,12.000000,15,0.0000,0.0000,3.9962,0.0000,0.0000,0.0155,0.0000,0.0000,-0.0125,-0.0594,0.0000,0.0000,0.1534,0.0330,6.2382,0.2256,0.0977,0.0259,-18.3758,-1.7899,-6.7748,-3.5366,-0.1202,-23.2025,-21.1299,2.4179,-0.2227,8.4931,7.9437,12.5471,3.5373,-3.7952,12.1694,1.2308,0.0000,0.0000
181,12.066667,15,0.0000,0.0000,3.9542,0.0000,0.0000,0.0386,0.0000,0.0000,-1.3424,-0.0517,0.0000,0.0000,0.1680,0.0031,8.2522,0.2747,1.7340,0.1254,-2.3927,-8.8583,-2.2539,-0.9044,0.0129,-8.8619,-5.3017,-1.3903,-0.5305,-0.4968,4.8489,5.9587,1.5191,-4.1420,13.2406,3.8406,0.0000,0.0000
182,12.133333,15,0.0000,0.0000,-1.4186,0.0000,0.0000,1.6181,0.0000,0.0000,-4.3220,1.5762,0.0000,0.0000,0.1440,-1.5604,22.1990,0.2300,0.0593,0.0834,-6.6846,1.0887,4.4618,0.9361,1.6516,-18.8617,-4.8939,0.1464,0.3075,6.4728,9.1019,12.5318,3.8585,-6.8358,31.0647,6.2831,0.0000,0.0000
183,12.200000,15,0.0000,0.0000,2.5401,0.0000,0.0000,1.5637,0.0000,0.0000,-20.3014,1.5327,0.0000,0.0000,-4.1389,2.4735,23.1427,0.0730,3.1750,0.1666,-10.5034,7.4234,-10.0085,-1.6547,1.5109,-36.3846,-47.6221,-4.5755,2.5290,11.6631,31.3621,14.7288,-355.8048,-7.7937,0.0000,18.9976,0.0000,0.0000
184,12.266667,15,0.0000,0.0000,2.5454,0.0000,0.0000,1.6300,0.0000,0.0000,-34.7800,1.5447,0.0000,0.0000,-4.1589,2.4422,18.9006,0.0476,3.2274,0.1352,-10.5572,14.8790,11.0685,-2.0787,1.5599,-48.5584,-70.4202,3.4835,7.0482,10.1322,46.7704,7.5875,2.6295,-14.8158,28.9923,15.8491,0.0000,0.0000
185,12.333333,15,0.0000,0.0000,2.5248,0.0000,0.0000,1.6462,0.0000,0.0000,-39.2300,1.4856,0.0000,0.0000,-4.1780,2.4545,24.1698,0.0812,3.2221,0.0608,-0.1938,15.4651,-17.3495,0.8874,1.6779,-57.0631,-74.6750,12.7637,7.7394,13.9008,45.2162,7.0563,2.5871,-14.0790,37.9033,18.8950,0.0000,0.0000
186,12.400000,15,0.0000,0.0000,2.5262,0.0000,0.0000,1.6546,0.0000,0.0000,-39.4701,1.4831,0.0000,0.0000,-4.1554,2.4511,1.0723,0.0701,1.6914,0.0503,-10.9800,4.9058,7.8045,-2.0794,1.5832,-32.1322,-85.5923,-0.3183,1.4549,14.5348,18.8978,16.6520,-355.6407,-2.8541,17.0135,11.1421,0.0000,0.0000
187,12.466667,15,0.0000,0.0000,2.5935,0.0000,0.0000,1.6322,0.0000,0.0000,-48.6866,-3.3358,0.0000,0.0000,-4.2134,2.4884,21.8971,0.1098,1.4257,0.1134,-20.3582,11.9218,-24.0434,-4.9705,1.4578,-40.6754,-94.3241,1.3170,2.7930,16.6540,20.3929,18.3829,-355.3906,-2.7747,0.0000,13.5132,0.0000,0.0000
188,12.533333,15,0.0000,0.0000,2.5406,0.0000,0.0000,1.6531,0.0000,0.0000,-52.6381,-3.3472,0.0000,0.0000,-4.2356,2.4877,11.3911,0.1353,1.7329,0.1285,-0.3383,1.2941,-13.3724,0.8969,1.6843,-26.2339,-90.6931,-18.8400,-4.2245,3.0335,18.0588,15.4521,3.2862,-4.9983,14.6641,8.5548,0.0000,0.0000
189,12.600000,15,0.0000,0.0000,-1.5139,0.0000,0.0000,1.7011,0.0000,0.0000,-47.9099,-8.2901,0.0000,0.0000,-4.2762,2.5014,7.9430,0.0742,3.1161,0.0267,4.6740,6.2073,10.0043,2.1565,1.7738,-28.5987,-83.7343,-28.1010,-8.0934,-0.5466,16.6752,16.3108,2.7102,-4.8518,0.0000,12.9634,0.0000,0.0000
190,12.666667,15,0.0000,0.0000,-1.5358,0.0000,0.0000,1.6774,0.0000,0.0000,-50.9461,-8.3498,0.0000,0.0000,-0.0686,-1.4277,6.4832,0.1676,1.7510,0.0264,0.9915,7.9694,-7.7202,2.3807,1.7580,-32.3846,-67.5471,-45.5454,-5.0829,7.5725,4.6312,18.6973,3.2440,-3.8736,28.0924,4.5344,0.0000,0.0000
191,12.733333,15,0.0000,0.0000,-1.6102,0.0000,0.0000,1.7133,0.0000,0.0000,-50.4212,-8.3983,0.0000,0.0000,-0.1508,-1.4206,9.7831,0.0841,1.7140,0.0434,-6.3200,6.5080,31.9111,2.0971,1.7834,-28.3613,-63.3058,-48.3843,-9.1410,-1.6337,19.7049,15.7826,3.4618,-9.6562,28.2032,11.1334,0.0000,0.0000
192,12.800000,15,0.0000,0.0000,-2.3242,0.0000,0.0000,1.7134,0.0000,0.0000,-50.6039,-8.3471,0.0000,0.0000,-0.1063,-1.4406,9.7067,0.1886,1.7724,0.0003,-3.9921,11.3751,0.2799,0.6190,1.7326,-30.6227,29.6123,-50.1776,4.0984,0.5452,18.5490,16.3441,3.5780,-8.9290,5.0349,13.3537,0.0000,0.0000
193,12.866667,15,0.0000,0.0000,-2.3215,0.0000,0.0000,1.7024,0.0000,0.0000,-50.6688,-8.3202,0.0000,0.0000,-0.4165,-1.4364,12.5736,0.1369,1.7114,2.0857,-12.7469,-3.6639,4.5221,-2.4370,1.6145,-6.7918,70.0702,-28.4214,14.6367,-3.5918,-7.6129,3.3371,-2.2763,1.6485,5.8289,6.5140,0.0000,0.0000
194,12.933333,15,0.0000,0.0000,-2.3592,0.0000,0.0000,1.6978,0.0000,0.0000,-50.5398,-8.3832,0.0000,0.0000,-0.1443,-1.4158,15.4166,0.1335,1.7441,0.0329,-6.2281,9.0483,-3.6478,2.0228,1.7653,-26.1947,-11.2837,-54.6719,-3.9035,2.9215,8.3164,15.6800,2.6703,-4.7314,14.6057,1.3832,0.0000,0.0000
195,13.000000,15,0.0000,0.0000,-0.0146,0.0000,0.0000,0.0462,0.0000,0.0000,-50.0753,-10.9887,0.0000,0.0000,-0.4271,0.1761,28.3787,0.0635,1.7379,0.0341,16.6795,4.3253,-21.0620,6.9072,0.2665,-28.0033,64.0588,-43.1770,10.8338,-4.4485,24.2890,14.3595,3.4304,-8.2417,17.2098,11.3059,0.0000,0.0000
196,13.066667,15,0.0000,0.0000,0.0265,0.0000,0.0000,0.0323,0.0000,0.0000,-44.7153,-16.2213,0.0000,0.0000,-0.4326,0.2145,31.2168,0.0034,1.8098,0.0436,12.2360,8.0673,-21.5650,6.6491,0.2445,-43.2485,-61.0821,-46.2156,-10.6719,-9.3982,45.0224,9.0555,-355.0232,-11.4190,21.7013,18.5613,0.0000,0.0000
197,13.133333,15,0.0000,0.0000,0.0298,0.0000,0.0000,0.0379,0.0000,0.0000,-44.7402,-16.2452,0.0000,0.0000,-0.4194,0.2087,33.8223,0.0062,1.7740,0.0705,1.8539,7.4543,-26.9956,3.5109,0.1501,-34.9110,-43.6322,-52.7867,-15.2404,-4.8261,16.0012,16.9173,2.5409,-6.8071,22.3607,1.3806,0.0000,0.0000
