frame,timestamp_s,fps,2d_neck_alpha,2d_neck_beta,2d_neck_gamma,2d_trunk_alpha,2d_trunk_beta,2d_trunk_gamma,2d_right_shoulder_alpha,2d_right_shoulder_beta,2d_right_shoulder_gamma,2d_right_shoulder_elevation,2d_left_shoulder_alpha,2d_left_shoulder_beta,2d_left_shoulder_gamma,2d_left_shoulder_elevation,2d_right_elbow,2d_left_elbow,2d_right_knee,2d_left_knee,3d_neck_alpha,3d_neck_beta,3d_neck_gamma,3d_trunk_alpha,3d_trunk_beta,3d_trunk_gamma,3d_right_shoulder_alpha,3d_right_shoulder_beta,3d_right_shoulder_gamma,3d_right_shoulder_elevation,3d_left_shoulder_alpha,3d_left_shoulder_beta,3d_left_shoulder_gamma,3d_left_shoulder_elevation,3d_right_elbow,3d_left_elbow,3d_right_knee,3d_left_knee
39,2.600000,15,0.0000,0.0000,0.2379,0.0000,0.0000,0.0069,0.0000,0.0000,0.0338,0.0089,0.0000,0.0000,-0.1868,0.0012,0.0541,0.0332,0.0348,0.0178,-19.2887,-11.2719,-13.0346,-6.9609,-0.2040,4.1504,-10.3329,-7.9698,-2.8778,-2.5327,-7.7723,-5.6777,-4.0377,7.4810,7.8841,11.1900,0.0000,0.0000
40,2.666667,15,0.0000,0.0000,0.1577,0.0000,0.0000,0.0077,0.0000,0.0000,0.0548,-0.0051,0.0000,0.0000,-3.8748,3.7195,0.0564,0.1037,0.0098,0.0619,-25.4912,4.4486,-22.0631,-7.0744,-0.2210,-17.7923,-26.1455,-0.6334,-2.9340,2.2654,21.1430,11.3387,2.8461,-0.0426,3.7295,15.8872,0.0000,0.0000
41,2.733333,15,0.0000,0.0000,0.1852,0.0000,0.0000,0.0061,0.0000,0.0000,0.1033,0.0087,0.0000,0.0000,0.1206,0.0203,0.1742,0.2030,0.0247,0.0094,-16.2782,-9.9180,-6.6068,-6.9509,-0.2046,3.9326,-7.4724,-6.1782,-2.1716,0.5850,-6.5258,-5.3744,-3.7785,9.0665,0.9317,10.4865,0.0000,0.0000
42,2.800000,15,0.0000,0.0000,0.2035,0.0000,0.0000,0.0015,0.0000,0.0000,0.0675,0.0050,0.0000,0.0000,0.1337,0.0133,0.2546,0.2160,0.0136,0.0020,-10.7637,-10.1149,-2.5645,-5.5026,-0.1674,7.5177,1.4721,-2.1696,-0.1184,-5.0523,-4.6721,-7.0776,-3.6668,5.8221,2.2532,10.9058,0.0000,0.0000
43,2.866667,15,0.0000,0.0000,0.1659,0.0000,0.0000,0.0138,0.0000,0.0000,0.0422,0.0428,0.0000,0.0000,-0.1934,-0.0113,0.2176,0.0158,1.7452,0.0041,-14.4304,-9.6424,0.4251,-5.4754,-0.1526,4.5069,5.0316,1.8063,0.6785,-4.9300,-3.9733,-4.3473,-2.9288,3.8458,11.3755,13.4970,0.0000,0.0000
44,2.933333,15,0.0000,0.0000,0.1924,0.0000,0.0000,0.0166,0.0000,0.0000,0.0821,0.0252,0.0000,0.0000,-0.1400,-0.0046,0.2584,0.0747,1.7905,0.0374,-16.5252,-2.9303,-7.6984,-5.5045,-0.1506,-5.5661,-14.8550,-4.4886,-2.4717,-0.3692,2.5624,3.8289,-0.0697,1.6367,6.4755,1.0636,0.0000,0.0000
45,3.000000,15,0.0000,0.0000,0.2134,0.0000,0.0000,0.0186,0.0000,0.0000,0.0573,0.0389,0.0000,0.0000,0.1633,-0.0185,0.2500,0.3493,0.0527,0.0389,-12.3505,-5.1145,4.1014,-5.4746,-0.1476,-0.4473,-5.7666,-3.0941,-1.3615,-1.6838,-1.2357,-0.5219,-1.5323,3.8374,3.9106,7.6022,0.0000,0.0000
46,3.066667,15,0.0000,0.0000,0.2097,0.0000,0.0000,0.0224,0.0000,0.0000,0.0987,0.0296,0.0000,0.0000,0.1193,-0.0100,0.1333,0.2783,1.7168,0.0139,2.8485,-1.4777,-1.2637,-0.9661,-0.0051,5.3857,1.5601,-1.4251,0.0304,-3.7904,5.9104,-0.5893,-0.1553,-0.8868,2.8335,2.8354,0.0000,0.0000
47,3.133333,15,0.0000,0.0000,0.1812,0.0000,0.0000,0.0178,0.0000,0.0000,0.1126,0.0159,0.0000,0.0000,-3.8759,3.6999,0.3037,0.1122,1.7558,0.0185,-4.7744,-2.3471,-1.4302,-1.1326,-0.0148,-0.1318,-4.4486,-2.6912,-1.0985,-1.4264,4.4479,1.8919,-0.6308,3.5704,4.0220,0.6909,0.0000,0.0000
48,3.200000,15,0.0000,0.0000,0.1844,0.0000,0.0000,0.0124,0.0000,0.0000,0.0904,0.0221,0.0000,0.0000,0.1263,-0.0006,0.1164,0.1696,0.0192,0.0311,-3.8397,-4.9976,3.1018,-1.1285,-0.0195,5.0562,1.2260,-1.5286,-0.0287,-2.1767,3.5380,-1.5591,-0.5087,1.9627,4.5713,0.7096,0.0000,0.0000
49,3.266667,15,0.0000,0.0000,0.2060,0.0000,0.0000,0.0071,0.0000,0.0000,0.1193,0.0070,0.0000,0.0000,0.1283,0.0144,0.3010,0.1937,0.0011,0.0171,-14.9445,-3.7604,-11.7201,-4.1575,-0.1181,-3.7583,-12.3561,-4.4818,-2.1159,3.1648,-2.8142,1.0332,-0.7637,4.2737,3.6559,6.0761,0.0000,0.0000
50,3.333333,15,0.0000,0.0000,0.2017,0.0000,0.0000,0.0206,0.0000,0.0000,0.0776,0.0231,0.0000,0.0000,0.1567,-0.0116,0.2291,0.3419,1.7756,0.0048,-1.7119,-0.2350,-2.2363,-1.1303,-0.0116,-1.5160,-2.2824,-1.0584,-0.4479,-0.5474,7.6128,3.3992,0.8421,0.1755,5.5999,4.6090,0.0000,0.0000
51,3.400000,15,0.0000,0.0000,0.2291,0.0000,0.0000,0.0261,0.0000,0.0000,0.1131,0.0070,0.0000,0.0000,-3.8846,3.7087,0.2685,0.0877,1.7566,0.0042,-17.8014,-10.0386,-7.6711,-8.3586,-0.2280,3.4097,-0.6412,-1.5081,-0.7600,-4.5634,-1.6125,-2.8287,-4.2946,10.2482,4.6218,3.4544,0.0000,0.0000
