frame,time_qtm_s,time_rs_s,torso_alpha_deg,torso_beta_deg,torso_gamma_deg,neck_alpha_deg,neck_beta_deg,neck_gamma_deg,shoulderR_alpha_deg,shoulderR_beta_deg,shoulderR_gamma_deg,elbowR_deg
17,0.16,25.787,0.905204124870366,0.651525049854659,-174.649360557552,99.2301855742672,12.5267852175419,-5.3025942990199,3.44838142807894,7.60131688427283,-41.2421974155751,156.183210259416
18,0.17,25.797,0.890983168434969,0.646069722791481,-174.621805175421,99.2528462913366,12.4585268671205,-5.30010375016087,3.41813926666692,7.58466566348164,-41.2891895937163,156.193398892783
19,0.18,25.807,0.869725301542865,0.651481439985519,-174.633867966394,99.3008983011509,12.4443908969739,-5.29370941989502,3.40315266157936,7.57737728330425,-41.2908540787638,156.207961265654
20,0.19,25.817,0.854721328402817,0.642085830033809,-174.638493924449,99.3307396032217,12.4465938127796,-5.28189328831722,3.40344069612321,7.56532175219856,-41.2788380582426,156.185719683063
21,0.2,25.827,0.829377742959271,0.639121644724106,-174.659072141534,99.375668489148,12.477929589166,-5.27617673852739,3.40567241061385,7.56954685195855,-41.269358912368,156.169018738055
22,0.21,25.837,0.824149544214956,0.646107024076213,-174.653609739418,99.3938912702176,12.4885684888942,-5.27804175657838,3.40206259529011,7.5627427468061,-41.2191919199546,156.206068607683
23,0.22,25.847,0.812685514234405,0.653404235865695,-174.668722484885,99.4162034540901,12.5213351971389,-5.27697475017416,3.41407044514214,7.5732913764186,-41.176340705458,156.214941651737
24,0.23,25.857,0.803898142627835,0.639936204431624,-174.659053767619,99.420722562049,12.5317923639905,-5.27717714782943,3.40845282301608,7.55227621123462,-41.1999558506838,156.221518329252
25,0.24,25.867,0.791307812625238,0.641932954884088,-174.665358764803,99.4275181105336,12.5297340508903,-5.28480480887565,3.39976471290825,7.54953509381584,-41.198313934471,156.257638153997
26,0.25,25.877,0.768332285790064,0.622254476084599,-174.65095399671,99.4377140908899,12.5579567030456,-5.26919276882634,3.38362101177032,7.52659762675724,-41.1967508164173,156.251742977638
27,0.26,25.887,0.77830198673842,0.62005693641028,-174.654540491913,99.4238065898393,12.6110529213018,-5.2815958215489,3.408265666984,7.52361153011527,-41.1750054039871,156.256619534653
28,0.27,25.897,0.750677161986969,0.626168733000037,-174.654744178159,99.4404218156508,12.6029773443952,-5.29771325526621,3.38995835805143,7.52983035792587,-41.2125741223038,156.249816450901
29,0.28,25.907,0.727367774932629,0.610242524086396,-174.658782077389,99.4596434364368,12.6515131258995,-5.28108189535688,3.37154845557717,7.50912481931424,-41.2798987709639,156.283270296923
30,0.29,25.917,0.698315400132867,0.598036685054265,-174.651356070309,99.4897950970459,12.6557840423517,-5.2764840950508,3.34962681957132,7.49281199478103,-41.2581158193162,156.298955403814
31,0.3,25.927,0.685070023081434,0.592344540943584,-174.65142804905,99.5070590379995,12.6831768465897,-5.28180931220698,3.33494888743048,7.48205182243363,-41.2798411955142,156.326683791334
32,0.31,25.937,0.632666262537362,0.565026698101605,-174.65052560175,99.549429605499,12.7009788414718,-5.26947742062667,3.30855671313795,7.46185203788728,-41.2690855768143,156.277751745889
33,0.32,25.947,0.59497616018905,0.556548575270095,-174.650057755104,99.5742671587564,12.6963016232262,-5.26535518309717,3.28716642332017,7.45702297843397,-41.2650415820499,156.288507179464
