Person_ID,Window_ID,Neck_alpha_2D,Neck_beta_2D,Neck_gamma_2D,Torso_alpha_2D,Torso_beta_2D,Torso_gamma_2D,Right_elbow_2D,Left_elbow_2D,Right_Knee_2D,Left_knee_2D,Right_shoulder_alpha_2D,Right_shoulder_beta_2D,Right_shoulder_gamma_2D,Right_shoulder_elevation_2D,Left_shoulder_alpha_2D,Left_shoulder_beta_2D,Left_shoulder_gamma_2D,Left_shoulder_elevation_2D,Neck_alpha_3D,Neck_beta_3D,Neck_gamma_3D,Torso_alpha_3D,Torso_beta_3D,Torso_gamma_3D,Right_elbow_3D,Left_elbow_3D,Right_Knee_3D,Left_knee_3D,Right_shoulder_alpha_3D,Right_shoulder_beta_3D,Right_shoulder_gamma_3D,Right_shoulder_elevation_3D,Left_shoulder_alpha_3D,Left_shoulder_beta_3D,Left_shoulder_gamma_3D,Left_shoulder_elevation_3D,Table_A_2D,Table_B_2D,Table_C_2D,Table_A_3D,Table_B_3D,Table_C_3D,REBA_2D,REBA_3D,Error
2,9,0.0,5.3,-167.9,0.0,5.3,51.88,33.41,10.47,1.96,8.19,0.0,-5.3,-379.85,16.73,0.0,-5.3,-30.16,-14.36,-20.68,40.54,178.16,7.74,13.35,-16.15,33.41,10.47,1.96,8.19,-7.68,23.55,0.82,16.73,10.96,11.24,-356.71,-14.36,2.0,2.0,2.0,5.0,2.0,4.0,0,1.0,-1.0
2,10,9.7,14.15,-175.12,0.0,14.15,-89.93,15.81,2.19,5.58,1.47,13.64,-14.15,11.02,-12.08,-13.05,-14.15,379.61,14.44,-5.66,63.46,171.62,19.06,-24.96,-14.37,15.81,2.19,5.58,1.47,-28.56,-35.13,-7.66,-12.08,25.79,-35.86,-358.35,14.44,1.0,2.0,1.0,6.0,4.0,7.0,0,2.0,-2.0
2,11,0.0,0.97,108.48,0.0,0.97,-186.15,12.04,10.17,7.44,9.84,0.0,-0.97,-327.38,-50.74,0.0,-0.97,-20.51,55.46,5.22,61.97,-35.4,48.02,73.76,-175.15,12.04,10.17,7.44,9.84,-97.54,-45.69,-81.87,-50.74,-8.04,-66.85,-27.59,55.46,1.0,2.0,1.0,4.0,4.0,4.0,0,1.0,-1.0
2,12,0.0,-25.07,129.17,0.0,-25.07,-79.0,8.43,4.75,3.19,3.77,0.0,25.07,-18.92,-64.55,0.0,25.07,378.31,57.86,-51.0,44.93,-39.59,34.99,-41.97,29.58,8.43,4.75,3.19,3.77,81.06,-35.83,68.32,-64.55,44.21,-32.99,-333.93,57.86,3.0,2.0,3.0,6.0,5.0,8.0,0,2.0,-2.0
2,13,0.0,10.91,141.73,0.0,10.91,86.72,13.99,15.01,1.48,10.51,0.0,-10.91,-337.92,55.76,0.0,-10.91,57.91,-80.42,-43.68,-46.97,16.94,51.34,60.5,-12.83,13.99,15.01,1.48,10.51,47.64,45.18,-50.44,55.76,134.3,60.91,-104.6,-80.42,2.0,2.0,2.0,6.0,5.0,8.0,0,2.0,-2.0
2,14,0.0,0.39,-158.71,0.0,0.39,-67.82,8.99,8.97,12.33,5.13,0.0,-0.39,-13.14,-22.59,0.0,-0.39,378.89,22.3,-8.35,89.25,134.47,11.88,-20.13,-17.6,8.99,8.97,12.33,5.13,-54.4,-40.28,-22.86,-22.59,21.84,-29.11,0.59,22.3,1.0,2.0,1.0,5.0,4.0,5.0,0,1.0,-1.0
2,15,0.0,2.65,168.72,0.0,2.65,98.2,27.79,20.31,4.08,0.76,0.0,-2.65,-336.27,79.61,0.0,-2.65,25.7,-49.17,-22.74,-46.14,71.02,62.58,68.89,-9.96,27.79,20.31,4.08,0.76,66.89,42.8,-56.27,79.61,108.24,40.43,-68.43,-49.17,1.0,2.0,1.0,7.0,5.0,9.0,0,2.0,-2.0
2,16,0.0,-3.48,129.85,0.0,-3.48,-51.09,4.6,23.52,17.0,0.4,0.0,3.48,4.87,-10.24,0.0,3.48,-52.42,10.83,-29.23,81.72,-109.54,13.77,-3.16,-13.61,4.6,23.52,17.0,0.4,-28.63,-32.05,-6.26,-10.24,36.07,-12.31,-356.34,10.83,2.0,2.0,2.0,6.0,4.0,7.0,0,2.0,-2.0
2,17,0.0,3.85,-6.19,0.0,3.85,0.9,0.51,14.02,2.49,5.74,0.0,-3.85,-4.08,6.25,0.0,-3.85,1.84,-0.31,-3.64,6.36,-8.58,-1.6,-0.96,-7.69,0.51,14.02,2.49,5.74,-12.39,-0.85,0.12,6.25,11.43,1.97,-359.08,-0.31,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
2,18,0.0,1.5,3.49,0.0,1.5,-7.96,5.76,14.81,2.84,9.31,0.0,-1.5,4.12,3.15,0.0,-1.5,-5.56,0.01,-3.68,6.16,-9.11,-2.3,-0.29,-4.24,5.76,14.81,2.84,9.31,-14.77,-2.22,-0.15,3.15,18.11,2.75,0.63,0.01,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
3,1,0.0,-0.7,-4.0,0.0,-0.7,-2.89,3.12,1.32,0.94,1.25,0.0,0.7,-1.91,-0.89,0.0,0.7,3.81,-0.33,-1.23,0.72,1.78,0.29,0.3,0.96,3.12,1.32,0.94,1.25,2.12,0.95,-0.14,-0.89,-0.7,0.56,0.02,-0.33,2.0,2.0,2.0,4.0,2.0,4.0,0,1.0,-1.0
3,2,0.0,0.75,4.35,0.0,0.75,2.46,4.02,0.63,0.93,1.1,0.0,-0.75,1.27,0.49,0.0,-0.75,-3.54,0.03,1.57,-1.6,-0.72,0.41,-0.41,-0.07,4.02,0.63,0.93,1.1,-1.76,-1.34,0.12,0.49,-0.04,-0.61,0.01,0.03,2.0,2.0,2.0,3.0,2.0,3.0,0,0.0,0.0
3,3,0.0,-0.04,-0.35,0.0,-0.04,0.43,0.89,0.68,0.01,0.15,0.0,0.04,0.64,0.4,0.0,0.04,-0.27,0.3,-0.35,0.89,-1.06,-0.7,0.11,-0.89,0.89,0.68,0.01,0.15,-0.36,0.38,0.01,0.4,0.74,0.05,-0.03,0.3,2.0,2.0,2.0,4.0,2.0,4.0,0,1.0,-1.0
3,4,0.0,-0.44,-13.38,0.0,-0.44,-2.5,2.2,1.25,8.34,0.24,0.0,0.44,-2.66,1.13,0.0,0.44,4.56,0.4,-2.66,9.96,4.84,0.07,0.48,2.71,2.2,1.25,8.34,0.24,3.0,0.01,-0.12,1.13,0.06,1.21,0.01,0.4,2.0,2.0,2.0,2.0,2.0,2.0,0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,-26.04,192.43,70.57,36.22,30.18,32.24,0.0,26.04,63.98,22.29,0.0,26.04,347.51,-3.39,0.0,0.0,0.0,-11.02,-45.51,-167.14,70.57,36.22,30.18,32.24,1.52,20.88,1.23,22.29,-30.65,50.1,12.33,-3.39,4.0,1.0,3.0,5.0,1.0,4.0,0,1.0,-1.0
3,6,0.0,1.07,-178.72,0.0,1.07,48.85,26.71,31.04,16.28,64.07,0.0,-1.07,-380.33,13.8,0.0,-1.07,9.44,-10.29,-7.49,-55.39,129.91,-0.54,14.71,-21.49,26.71,31.04,16.28,64.07,6.96,22.7,-0.32,13.8,17.94,44.07,354.45,-10.29,2.0,2.0,2.0,5.0,2.0,4.0,0,1.0,-1.0
3,7,0.0,-9.79,164.73,0.0,-9.79,32.35,1.97,38.87,3.02,27.8,0.0,9.79,-375.53,0.44,0.0,9.79,-9.75,4.16,-42.79,31.69,163.04,5.51,5.35,16.4,1.97,38.87,3.02,27.8,4.72,14.02,-0.31,0.44,-13.76,10.82,0.12,4.16,2.0,2.0,2.0,5.0,2.0,4.0,0,1.0,-1.0
3,8,69.06,-11.5,-100.98,0.0,-11.5,113.07,40.19,10.24,3.67,25.78,-131.09,11.5,-47.46,-23.93,-133.6,11.5,287.26,24.33,-17.96,-43.8,-57.73,3.69,-28.31,151.0,40.19,10.24,3.67,25.78,13.19,33.56,2.68,-23.93,30.26,28.41,19.05,24.33,3.0,4.0,3.0,5.0,2.0,4.0,0,1.0,-1.0
3,9,0.0,-2.35,178.89,0.0,-2.35,88.3,12.82,20.19,1.42,10.48,0.0,2.35,-356.28,43.64,0.0,2.35,19.47,-32.64,-8.45,-51.76,144.49,24.43,44.6,-3.17,12.82,20.19,1.42,10.48,41.38,47.48,-21.87,43.64,14.59,61.24,349.71,-32.64,2.0,2.0,2.0,6.0,4.0,7.0,0,2.0,-2.0
3,10,0.0,0.0,0.0,0.0,-6.32,-237.33,5.08,30.89,33.71,12.91,0.0,6.32,24.84,-10.41,0.0,6.32,387.21,19.05,0.0,0.0,0.0,23.42,-11.26,-150.26,5.08,30.89,33.71,12.91,-1.94,49.41,-3.49,-10.41,-27.22,-0.81,353.18,19.05,3.0,2.0,3.0,5.0,2.0,4.0,0,1.0,-1.0
3,11,2.74,1.37,159.15,0.0,1.37,64.37,31.06,45.81,31.99,23.11,-6.07,-1.37,-389.39,3.51,4.59,-1.37,400.35,-11.42,-0.51,-49.71,144.01,-10.87,6.42,-10.12,31.06,45.81,31.99,23.11,11.12,26.22,-1.18,3.51,-41.74,-5.03,8.09,-11.42,3.0,2.0,3.0,7.0,2.0,7.0,0,2.0,-2.0
